Run, Time Trad, Time ToA,,, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,17.318957,1.924259,17.318957,1.924259,0.229303,1.69459,8,8,True,0,0,365,tidy_all(library),False
2,9.780205,70.112041,13.549581,36.01815,0.234704,69.876947,14,14,True,0,0,436,tidy_all(library),False
3,2.610611,19.555566,9.9032576667,30.530622,0.244272,19.310887,20,20,True,0,0,196,tidy_all(library),False
4,0.252921,0.708158,7.4906735,23.075006,0.226663,0.481094,7,7,True,0,0,499,tidy_all(library),False
5,12.119104,1.93546,8.4163596,18.8470968,0.238203,1.696898,9,9,True,0,0,250,tidy_all(library),False
6,13.046167,90.674088,9.1879941667,30.818262,0.235341,90.43835,16,16,True,0,0,262,tidy_all(library),False
7,46.546285,51.788849,14.5248928571,33.8140601429,0.227046,51.561183,11,11,True,1,1,155,tidy_all(library),False
8,30.36807,14.675043,16.50529,31.421683,0.323218,14.351334,10,10,True,0,1,17,tidy_all(library),False
9,18.565885,464.042295,16.734245,79.4906398889,0.320982,463.720809,14,14,True,0,1,441,tidy_all(library),False
10,2.333734,10.850843,15.2941939,72.6266602,0.315219,10.535113,17,17,True,0,1,347,tidy_all(library),False
11,18.754833,161.791134,15.6087974545,80.7325214545,0.306189,161.48441,16,16,True,0,1,301,tidy_all(library),False
12,1.901801,1.287391,14.46654775,74.1120939167,0.304305,0.982651,8,8,True,0,1,552,tidy_all(library),False
13,15.012573,68.709382,14.5085496923,73.6965006923,0.361253,68.347669,17,17,True,0,1,153,tidy_all(library),False
14,1.563249,7.122536,13.5838853571,68.9412175,0.324232,6.79783,19,19,True,0,1,328,tidy_all(library),False
15,12.961606,62.975389,13.5424000667,68.5434956,0.316262,62.658666,15,15,True,0,1,517,tidy_all(library),False
16,37.018226,228.5049,15.0096391875,78.541083375,0.30967,228.194728,14,14,True,0,1,183,tidy_all(library),False
17,0.432861,1.064692,14.1521816471,73.9836485882,0.335226,0.729001,6,6,True,0,1,438,tidy_all(library),False
18,1.943433,10.960014,13.4739178333,70.4823355556,0.339061,10.62048,20,20,True,0,1,381,tidy_all(library),False
19,0.261978,1.03446,12.7785525789,66.8271842105,0.326053,0.707982,4,4,True,0,1,318,tidy_all(library),False
20,0.297089,0.956506,12.1544794,63.5336503,0.305862,0.650187,8,8,True,0,1,287,tidy_all(library),False
21,4.194866,20.854982,11.7754501905,61.5013327619,0.356102,20.498398,17,17,True,0,1,523,tidy_all(library),False
22,8.630743,30.942519,11.6325089545,60.1122957727,0.333941,30.608104,15,15,True,0,1,415,tidy_all(library),False
23,6.656503,30.757141,11.4161608696,58.8359846957,0.320757,30.434986,13,13,True,2,2,142,tidy_all(library),False
24,11.870394,575.519929,11.43508725,80.364482375,0.461287,575.058182,14,14,True,0,2,45,tidy_all(library),False
25,0.244586,0.986753,10.9874672,77.1893732,0.450639,0.535663,7,7,True,0,2,474,tidy_all(library),False
26,0.255678,1.240191,10.5747060769,74.2682508077,0.492833,0.746829,5,5,True,0,2,179,tidy_all(library),False
27,0.231394,0.452253,10.1916204444,71.534324963,0.452059,0,0,0,False,0,2,180,tidy_all(library),True
28,1.124778,1.20925,9.8678046429,69.0227151429,0.462913,0.745899,7,7,True,0,2,486,tidy_all(library),False
29,37.305023,298.216873,10.8139156207,76.9259619655,0.455612,297.760758,14,14,True,0,2,14,tidy_all(library),False
30,3.891155,1.493698,10.5831569333,74.4115531667,0.462401,1.029264,6,6,True,0,2,571,tidy_all(library),False
31,18.335432,7.372218,10.8332303226,72.2489939677,0.469766,6.901927,7,7,True,0,2,101,tidy_all(library),False
32,9.905114,96.06998,10.8042266875,72.9933997813,0.465658,95.603872,14,14,True,0,2,547,tidy_all(library),False
33,42.164693,34.797034,11.7545438485,71.8359341515,0.463513,34.332976,11,11,True,3,3,397,tidy_all(library),False
34,38.959241,262.319564,12.554682,77.4383938529,0.595036,261.724043,14,14,True,0,3,305,tidy_all(library),False
35,0.424876,1.982691,12.2081161143,75.2825166286,0.563516,1.418682,8,8,True,0,3,276,tidy_all(library),False
36,19.199714,2.307377,12.4023271667,73.2554294167,0.579751,1.72715,8,8,True,0,3,385,tidy_all(library),False
37,1.197669,3.907824,12.0994985676,71.3811698108,0.567112,3.340204,22,22,True,0,3,561,tidy_all(library),False
38,1.091688,6.226715,11.8098193421,69.6665788947,0.570994,5.655217,20,20,True,0,3,560,tidy_all(library),False
39,25.715097,1.611075,12.1663649231,67.9215659744,0.595475,1.015143,8,8,True,0,3,393,tidy_all(library),False
40,7.974666,23.165861,12.06157245,66.80267335,0.568971,22.596375,14,14,True,0,3,34,tidy_all(library),False
41,37.859407,13.679867,12.6907879268,65.5069951463,0.582983,13.096374,10,10,True,0,3,293,tidy_all(library),False
42,0.282409,1.443331,12.3953503333,63.9816698095,0.600341,0.842545,7,7,True,0,3,516,tidy_all(library),False
43,12.832753,5.699686,12.4055224884,62.6262748372,0.582278,5.116968,8,8,True,0,3,133,tidy_all(library),False
44,42.625108,291.559957,13.09233125,67.8293130682,0.586902,290.972523,14,14,True,0,3,290,tidy_all(library),False
45,0.251661,1.387781,12.8069830222,66.3528345778,0.586168,0.801124,6,6,True,0,3,444,tidy_all(library),False
46,3.300791,20.036797,12.6003266739,65.3459641957,0.568228,19.468017,18,18,True,0,3,554,tidy_all(library),False
47,4.278529,32.553656,12.4232671489,64.6482555106,0.588753,31.964273,18,18,True,0,3,453,tidy_all(library),False
48,30.502268,139.27254,12.799913,66.2029281042,0.57159,138.700477,13,13,True,4,4,27,tidy_all(library),False
