Run, Time Trad, Time ToA,,, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
57,1.311743,8.650691,FALSE,8.2434246842,8.650406,0,14,16,False,30,44,3,tidy_all(library),False
58,0.303722,8.43397,FALSE,8.2467099483,8.433632,0,7,17,False,33,44,173,tidy_all(library),False
59,0.780487,10.194585,FALSE,8.2797247797,7.854166,2.339748,19,19,True,45,45,113,tidy_all(library),False
60,0.26945,6.814029,FALSE,8.2552965167,6.813762,0,5,11,False,35,45,60,tidy_all(library),False
61,7.323314,16.218393,FALSE,8.385839082,5.513533,10.704092,12,12,True,46,46,82,tidy_all(library),False
62,0.230813,5.967931,FALSE,8.3468405645,5.967673,0,4,4,False,29,46,35,tidy_all(library),False
63,0.668486,9.557595,FALSE,8.3660588889,6.30248,3.254496,8,8,True,47,47,91,tidy_all(library),False
64,1.695878,8.996173,FALSE,8.3759044219,8.995912,0,13,13,False,21,47,87,tidy_all(library),False
65,1.292127,8.581633,FALSE,8.3790694769,6.185646,2.395305,7,7,True,48,48,29,tidy_all(library),False
66,2.836597,15.391593,FALSE,8.4853198333,7.753208,7.637757,14,14,True,49,49,177,tidy_all(library),False
67,7.188626,8.168801,FALSE,8.4805956716,8.168532,0,12,12,False,28,49,126,tidy_all(library),False
68,5.471344,20.103241,FALSE,8.6515169265,7.026313,13.076236,12,12,True,50,50,127,tidy_all(library),False
69,5.298071,8.081875,FALSE,8.6432612464,8.081618,0,11,11,False,25,50,27,tidy_all(library),False
70,1.775286,8.697819,FALSE,8.6440406429,8.697568,0,6,6,False,10,50,15,tidy_all(library),False
71,1.348697,14.24213,FALSE,8.7228869718,14.241865,0,16,16,False,15,50,133,tidy_all(library),False
72,2.364162,12.314013,FALSE,8.7727637222,7.057627,5.255719,12,12,True,51,51,93,tidy_all(library),False
73,0.284902,10.304265,FALSE,8.7937431918,8.698743,1.604872,6,6,True,52,52,130,tidy_all(library),False
74,0.244976,9.066827,FALSE,8.7974335135,7.406554,1.65955,6,6,True,53,53,65,tidy_all(library),False
75,2.579762,9.062146,FALSE,8.8009630133,9.061878,0,10,12,False,46,53,92,tidy_all(library),False
76,1.530528,12.890346,FALSE,8.8547706842,12.890058,0,9,19,False,45,53,123,tidy_all(library),False
77,5.026051,8.702674,FALSE,8.8527954026,8.702378,0,11,11,False,35,53,56,tidy_all(library),False
78,0.293132,11.407927,FALSE,8.8855535,9.666057,1.741003,6,6,True,54,54,94,tidy_all(library),False
79,4.293257,20.580816,FALSE,9.0335947975,10.571118,10.008996,13,13,True,55,55,7,tidy_all(library),False
80,3.2426,18.784433,FALSE,9.155480275,8.923395,9.860381,11,11,True,56,56,154,tidy_all(library),False
81,3.070422,15.282918,FALSE,9.2311276543,9.703889,5.578305,10,10,True,57,57,14,tidy_all(library),False
82,0.319049,10.474843,FALSE,9.2462949146,8.872994,1.601173,5,5,True,58,58,99,tidy_all(library),False
83,3.585093,20.922423,FALSE,9.3869711566,11.327331,9.594372,12,12,True,59,59,11,tidy_all(library),False
84,3.391045,9.292248,FALSE,9.3858435,9.291928,0,8,8,False,41,59,54,tidy_all(library),False
85,3.365756,9.211218,FALSE,9.3837890824,9.210964,0,8,8,False,41,59,54,tidy_all(library),False
86,2.431619,43.678698,FALSE,9.782567093,7.756585,35.921443,12,12,True,60,60,32,tidy_all(library),False
87,3.334933,23.407223,FALSE,9.9391723333,9.09277,14.313779,10,10,True,61,61,81,tidy_all(library),False
88,5.891499,16.692803,FALSE,10.0159181364,16.6925,0,10,12,False,50,61,179,tidy_all(library),False
89,1.440915,15.628517,FALSE,10.0789810449,15.628217,0,13,15,False,24,61,18,tidy_all(library),False
90,2.857214,40.419579,FALSE,10.4160988,9.327348,31.091581,10,10,True,62,62,51,tidy_all(library),False
91,4.307463,27.426036,FALSE,10.6030211868,14.165016,13.260381,12,12,True,63,63,131,tidy_all(library),False
92,1.435623,18.613102,FALSE,10.6900872826,18.612791,0,13,15,False,24,63,18,tidy_all(library),False
93,0.228209,7.113841,FALSE,10.6516330215,7.113567,0,0,0,False,0,63,125,tidy_all(library),True
94,4.999315,20.279732,FALSE,10.7540596064,20.279446,0,13,13,False,6,63,102,tidy_all(library),False
95,0.876417,21.051467,FALSE,10.8624533684,17.150296,3.900536,17,17,True,64,64,108,tidy_all(library),False
96,0.322754,10.490412,FALSE,10.8585779375,10.49011,0,2,12,False,51,64,95,tidy_all(library),False
97,0.426637,11.254731,FALSE,10.8626619897,11.254438,0,4,10,False,62,64,55,tidy_all(library),False
98,1.907563,11.232398,FALSE,10.8664348061,11.2321,0,9,9,False,19,64,89,tidy_all(library),False
99,2.445062,20.953312,FALSE,10.9683224545,8.688007,12.264644,11,11,True,65,65,36,tidy_all(library),False
100,4.360783,24.585258,FALSE,11.10449181,12.08927,12.49525,12,12,True,66,66,52,tidy_all(library),False
101,1.723176,26.400813,FALSE,11.2559405347,20.479761,5.920293,15,15,True,67,67,157,tidy_all(library),False
102,4.253971,14.526589,FALSE,11.2880057157,14.52632,0,11,11,False,27,67,109,tidy_all(library),False
103,3.113522,31.619568,FALSE,11.4853995243,16.816415,14.802437,11,11,True,68,68,67,tidy_all(library),False
104,4.253598,20.117294,FALSE,11.5683985096,20.116996,0,11,11,False,27,68,109,tidy_all(library),False
105,2.886559,14.464036,FALSE,11.5959760095,14.46369,0,10,10,False,62,68,51,tidy_all(library),False
106,2.845341,14.257595,FALSE,11.6210856226,14.25728,0,10,10,False,62,68,51,tidy_all(library),False
107,4.27999,18.266163,FALSE,11.6831891495,18.265843,0,13,13,False,55,68,7,tidy_all(library),False
108,0.702804,17.687901,FALSE,11.7387883333,14.449563,3.237626,18,18,True,69,69,183,tidy_all(library),False
109,1.862207,13.631503,FALSE,11.7561526881,13.631207,0,9,9,False,9,69,47,tidy_all(library),False
110,3.695525,16.721216,FALSE,11.8012896273,16.720919,0,12,12,False,40,69,2,tidy_all(library),False
111,1.999613,23.158131,FALSE,11.9036035135,15.481054,7.676188,14,14,True,70,70,12,tidy_all(library),False
112,2.57941,14.218364,FALSE,11.9242710179,14.218063,0,10,12,False,46,70,92,tidy_all(library),False
113,0.238326,11.491106,FALSE,11.9204376991,11.49079,0,5,11,False,65,70,40,tidy_all(library),False
114,3.304927,24.13515,FALSE,12.0275842982,14.686705,9.447594,13,13,True,71,71,151,tidy_all(library),False
115,0.291198,12.364383,FALSE,12.0305129826,12.364068,0,6,6,False,13,71,44,tidy_all(library),False
116,1.193298,21.337372,FALSE,12.1107445259,16.512982,4.823554,16,16,True,72,72,182,tidy_all(library),False
117,2.621303,20.360099,FALSE,12.1812518291,20.359782,0,7,7,False,16,72,69,tidy_all(library),False
118,3.378097,16.909762,FALSE,12.2213239492,16.909458,0,8,8,False,41,72,54,tidy_all(library),False
119,4.945043,13.185906,FALSE,12.2294296807,13.185579,0,11,11,False,35,72,56,tidy_all(library),False
120,0.985656,21.951535,FALSE,12.310447225,21.951213,0,16,16,False,23,72,178,tidy_all(library),False
121,1.764337,17.916022,FALSE,12.3567742893,15.47787,2.4374,8,8,True,73,73,21,tidy_all(library),False
122,1.905526,16.254778,FALSE,12.3887251393,12.99261,3.261412,9,9,True,74,74,39,tidy_all(library),False
123,0.318973,13.248423,FALSE,12.3957145528,13.248109,0,2,6,False,54,74,95,tidy_all(library),False
